,metric,value,step
0,Mean Reward Against Episodes,-2.0,0.0
1,Mean Reward Against Episodes,38.61119842529297,5.0
2,Mean Reward Against Episodes,78.99320220947266,10.0
3,Mean Reward Against Episodes,79.160400390625,15.0
4,Mean Reward Against Episodes,58.77899932861328,20.0
5,Mean Reward Against Episodes,58.440399169921875,25.0
6,Mean Reward Against Episodes,18.246999740600586,30.0
7,Mean Reward Against Episodes,38.39619827270508,35.0
8,Mean Reward Against Episodes,78.86280059814453,40.0
9,Mean Reward Against Episodes,59.0536003112793,45.0
10,Mean Reward Against Episodes,79.1615982055664,50.0
11,Mean Reward Against Episodes,18.05459976196289,55.0
12,Mean Reward Against Episodes,38.344200134277344,60.0
13,Mean Reward Against Episodes,58.71879959106445,65.0
14,Mean Reward Against Episodes,79.4561996459961,70.0
15,Mean Reward Against Episodes,38.566001892089844,75.0
16,Mean Reward Against Episodes,99.18319702148438,80.0
17,Mean Reward Against Episodes,79.01619720458984,85.0
18,Mean Reward Against Episodes,99.46279907226562,90.0
19,Mean Reward Against Episodes,99.83080291748047,95.0
20,Mean Reward Against Episodes,58.83319854736328,100.0
21,Mean Reward Against Episodes,38.677398681640625,105.0
22,Mean Reward Against Episodes,-2.0,110.0
23,Mean Reward Against Episodes,-2.0,115.0
24,Mean Reward Against Episodes,78.48519897460938,120.0
25,Mean Reward Against Episodes,99.54959869384766,125.0
26,Mean Reward Against Episodes,38.722599029541016,130.0
27,Mean Reward Against Episodes,38.395999908447266,135.0
28,Mean Reward Against Episodes,-2.0,140.0
29,Mean Reward Against Episodes,38.47740173339844,145.0
30,Mean Reward Against Episodes,58.76539993286133,150.0
31,Mean Reward Against Episodes,38.479801177978516,155.0
32,Mean Reward Against Episodes,-2.0,160.0
33,Mean Reward Against Episodes,-2.0,165.0
34,Mean Reward Against Episodes,-2.0,170.0
35,Mean Reward Against Episodes,-2.0,175.0
36,Mean Reward Against Episodes,-2.0,180.0
37,Mean Reward Against Episodes,-2.0,185.0
38,Mean Reward Against Episodes,-2.0,190.0
39,Mean Reward Against Episodes,-2.0,195.0
40,Mean Reward Against Episodes,-2.0,200.0
41,Mean Reward Against Episodes,-2.0,205.0
42,Mean Reward Against Episodes,-2.0,210.0
43,Mean Reward Against Episodes,-2.0,215.0
44,Mean Reward Against Episodes,-2.0,220.0
45,Mean Reward Against Episodes,79.2654037475586,225.0
46,Mean Reward Against Episodes,38.59080123901367,230.0
47,Mean Reward Against Episodes,99.75299835205078,235.0
48,Mean Reward Against Episodes,38.644798278808594,240.0
49,Mean Reward Against Episodes,18.311599731445312,245.0
50,Mean Reward Against Episodes,-2.0,250.0
51,Mean Reward Against Episodes,-2.0,255.0
52,Mean Reward Against Episodes,-2.0,260.0
53,Mean Reward Against Episodes,58.78739929199219,265.0
54,Mean Reward Against Episodes,58.94279861450195,270.0
55,Mean Reward Against Episodes,-2.0,275.0
56,Mean Reward Against Episodes,-2.0,280.0
57,Mean Reward Against Episodes,-2.0,285.0
58,Mean Reward Against Episodes,-2.0,290.0
59,Mean Reward Against Episodes,-2.0,295.0
60,Mean Reward Against Episodes,-2.0,300.0
61,Mean Reward Against Episodes,-2.0,305.0
62,Mean Reward Against Episodes,-2.0,310.0
63,Mean Reward Against Episodes,-2.0,315.0
64,Mean Reward Against Episodes,-2.0,320.0
65,Mean Reward Against Episodes,-2.0,325.0
66,Mean Reward Against Episodes,-2.0,330.0
67,Mean Reward Against Episodes,-2.0,335.0
68,Mean Reward Against Episodes,-2.0,340.0
69,Mean Reward Against Episodes,-2.0,345.0
70,Mean Reward Against Episodes,-2.0,350.0
71,Mean Reward Against Episodes,-2.0,355.0
72,Mean Reward Against Episodes,-2.0,360.0
73,Mean Reward Against Episodes,-2.0,365.0
74,Mean Reward Against Episodes,-2.0,370.0
75,Mean Reward Against Episodes,-2.0,375.0
76,Mean Reward Against Episodes,-2.0,380.0
77,Mean Reward Against Episodes,-2.0,385.0
78,Mean Reward Against Episodes,-2.0,390.0
79,Mean Reward Against Episodes,-2.0,395.0
80,Mean Reward Against Episodes,-2.0,400.0
81,Mean Reward Against Episodes,-2.0,405.0
82,Mean Reward Against Episodes,-2.0,410.0
83,Mean Reward Against Episodes,-2.0,415.0
84,Mean Reward Against Episodes,-2.0,420.0
85,Mean Reward Against Episodes,-2.0,425.0
86,Mean Reward Against Episodes,-2.0,430.0
87,Mean Reward Against Episodes,-2.0,435.0
