,metric,value,step
0,Mean Reward Against Episodes,98.25399780273438,0.0
1,Mean Reward Against Episodes,-2.0,5.0
2,Mean Reward Against Episodes,38.284000396728516,10.0
3,Mean Reward Against Episodes,18.06879997253418,15.0
4,Mean Reward Against Episodes,-2.0,20.0
5,Mean Reward Against Episodes,18.0851993560791,25.0
6,Mean Reward Against Episodes,78.99240112304688,30.0
7,Mean Reward Against Episodes,78.74120330810547,35.0
8,Mean Reward Against Episodes,-2.0,40.0
9,Mean Reward Against Episodes,58.545799255371094,45.0
10,Mean Reward Against Episodes,99.1697998046875,50.0
11,Mean Reward Against Episodes,78.79399871826172,55.0
12,Mean Reward Against Episodes,99.36940002441406,60.0
13,Mean Reward Against Episodes,-2.0,65.0
14,Mean Reward Against Episodes,-2.0,70.0
15,Mean Reward Against Episodes,58.670799255371094,75.0
16,Mean Reward Against Episodes,18.2450008392334,80.0
17,Mean Reward Against Episodes,-2.0,85.0
18,Mean Reward Against Episodes,18.03019905090332,90.0
19,Mean Reward Against Episodes,38.224998474121094,95.0
20,Mean Reward Against Episodes,99.3499984741211,100.0
21,Mean Reward Against Episodes,99.44319915771484,105.0
22,Mean Reward Against Episodes,78.82559967041016,110.0
23,Mean Reward Against Episodes,99.38520050048828,115.0
24,Mean Reward Against Episodes,99.29000091552734,120.0
25,Mean Reward Against Episodes,-2.0,125.0
26,Mean Reward Against Episodes,-2.0,130.0
27,Mean Reward Against Episodes,-2.0,135.0
28,Mean Reward Against Episodes,38.12519836425781,140.0
29,Mean Reward Against Episodes,99.4397964477539,145.0
30,Mean Reward Against Episodes,99.23799896240234,150.0
31,Mean Reward Against Episodes,99.46379852294922,155.0
32,Mean Reward Against Episodes,99.56800079345703,160.0
33,Mean Reward Against Episodes,99.34239959716797,165.0
34,Mean Reward Against Episodes,-2.0,170.0
35,Mean Reward Against Episodes,-2.0,175.0
36,Mean Reward Against Episodes,-2.0,180.0
37,Mean Reward Against Episodes,-2.0,185.0
38,Mean Reward Against Episodes,-2.0,190.0
39,Mean Reward Against Episodes,-2.0,195.0
40,Mean Reward Against Episodes,-2.0,200.0
41,Mean Reward Against Episodes,18.04560089111328,205.0
42,Mean Reward Against Episodes,78.64320373535156,210.0
43,Mean Reward Against Episodes,99.55439758300781,215.0
44,Mean Reward Against Episodes,99.31780242919922,220.0
45,Mean Reward Against Episodes,99.5907974243164,225.0
46,Mean Reward Against Episodes,99.43679809570312,230.0
47,Mean Reward Against Episodes,99.4739990234375,235.0
48,Mean Reward Against Episodes,99.18720245361328,240.0
49,Mean Reward Against Episodes,99.47959899902344,245.0
50,Mean Reward Against Episodes,38.502201080322266,250.0
51,Mean Reward Against Episodes,-2.0,255.0
52,Mean Reward Against Episodes,-2.0,260.0
53,Mean Reward Against Episodes,-2.0,265.0
54,Mean Reward Against Episodes,-2.0,270.0
55,Mean Reward Against Episodes,-2.0,275.0
56,Mean Reward Against Episodes,-2.0,280.0
57,Mean Reward Against Episodes,78.38200378417969,285.0
58,Mean Reward Against Episodes,99.08380126953125,290.0
59,Mean Reward Against Episodes,99.47799682617188,295.0
60,Mean Reward Against Episodes,99.22799682617188,300.0
61,Mean Reward Against Episodes,99.09320068359375,305.0
62,Mean Reward Against Episodes,99.34739685058594,310.0
63,Mean Reward Against Episodes,79.00640106201172,315.0
64,Mean Reward Against Episodes,-2.0,320.0
65,Mean Reward Against Episodes,-2.0,325.0
66,Mean Reward Against Episodes,-2.0,330.0
67,Mean Reward Against Episodes,78.75859832763672,335.0
68,Mean Reward Against Episodes,99.40599822998047,340.0
69,Mean Reward Against Episodes,99.19000244140625,345.0
70,Mean Reward Against Episodes,-2.0,350.0
71,Mean Reward Against Episodes,-2.0,355.0
72,Mean Reward Against Episodes,-2.0,360.0
73,Mean Reward Against Episodes,-2.0,365.0
74,Mean Reward Against Episodes,-2.0,370.0
75,Mean Reward Against Episodes,-2.0,375.0
76,Mean Reward Against Episodes,18.185400009155273,380.0
77,Mean Reward Against Episodes,38.2775993347168,385.0
78,Mean Reward Against Episodes,78.68879699707031,390.0
79,Mean Reward Against Episodes,99.37079620361328,395.0
80,Mean Reward Against Episodes,99.47799682617188,400.0
81,Mean Reward Against Episodes,99.4207992553711,405.0
82,Mean Reward Against Episodes,99.67939758300781,410.0
83,Mean Reward Against Episodes,99.6897964477539,415.0
84,Mean Reward Against Episodes,99.37359619140625,420.0
85,Mean Reward Against Episodes,99.6666030883789,425.0
86,Mean Reward Against Episodes,18.31559944152832,430.0
87,Mean Reward Against Episodes,-2.0,435.0
88,Mean Reward Against Episodes,-2.0,440.0
89,Mean Reward Against Episodes,38.38159942626953,445.0
90,Mean Reward Against Episodes,99.25260162353516,450.0
91,Mean Reward Against Episodes,99.38619995117188,455.0
92,Mean Reward Against Episodes,78.8988037109375,460.0
93,Mean Reward Against Episodes,-2.0,465.0
94,Mean Reward Against Episodes,-2.0,470.0
0,Mean Reward Against Steps,98.25399780273438,437.0
1,Mean Reward Against Steps,-2.0,2937.0
2,Mean Reward Against Steps,38.284000396728516,5083.0
3,Mean Reward Against Steps,18.06879997253418,7497.0
4,Mean Reward Against Steps,-2.0,9997.0
5,Mean Reward Against Steps,18.0851993560791,12391.0
6,Mean Reward Against Steps,78.99240112304688,13652.0
7,Mean Reward Against Steps,78.74120330810547,15227.0
8,Mean Reward Against Steps,-2.0,17727.0
9,Mean Reward Against Steps,58.545799255371094,19546.0
10,Mean Reward Against Steps,99.1697998046875,20585.0
11,Mean Reward Against Steps,78.79399871826172,22093.0
12,Mean Reward Against Steps,99.36940002441406,22883.0
13,Mean Reward Against Steps,-2.0,25383.0
14,Mean Reward Against Steps,-2.0,27883.0
15,Mean Reward Against Steps,58.670799255371094,29545.0
16,Mean Reward Against Steps,18.2450008392334,31739.0
17,Mean Reward Against Steps,-2.0,34239.0
18,Mean Reward Against Steps,18.03019905090332,36702.0
19,Mean Reward Against Steps,38.224998474121094,38921.0
20,Mean Reward Against Steps,99.3499984741211,39736.0
21,Mean Reward Against Steps,99.44319915771484,40435.0
22,Mean Reward Against Steps,78.82559967041016,41905.0
23,Mean Reward Against Steps,99.38520050048828,42676.0
24,Mean Reward Against Steps,99.29000091552734,43565.0
25,Mean Reward Against Steps,-2.0,46065.0
26,Mean Reward Against Steps,-2.0,48565.0
27,Mean Reward Against Steps,-2.0,51065.0
28,Mean Reward Against Steps,38.12519836425781,53409.0
29,Mean Reward Against Steps,99.4397964477539,54112.0
30,Mean Reward Against Steps,99.23799896240234,55066.0
31,Mean Reward Against Steps,99.46379852294922,55738.0
32,Mean Reward Against Steps,99.56800079345703,56279.0
33,Mean Reward Against Steps,99.34239959716797,57102.0
34,Mean Reward Against Steps,-2.0,59602.0
35,Mean Reward Against Steps,-2.0,62102.0
36,Mean Reward Against Steps,-2.0,64602.0
37,Mean Reward Against Steps,-2.0,67102.0
38,Mean Reward Against Steps,-2.0,69602.0
39,Mean Reward Against Steps,-2.0,72102.0
40,Mean Reward Against Steps,-2.0,74602.0
41,Mean Reward Against Steps,18.04560089111328,77045.0
42,Mean Reward Against Steps,78.64320373535156,78743.0
43,Mean Reward Against Steps,99.55439758300781,79303.0
44,Mean Reward Against Steps,99.31780242919922,80159.0
45,Mean Reward Against Steps,99.5907974243164,80672.0
46,Mean Reward Against Steps,99.43679809570312,81377.0
47,Mean Reward Against Steps,99.4739990234375,82037.0
48,Mean Reward Against Steps,99.18720245361328,83055.0
49,Mean Reward Against Steps,99.47959899902344,83706.0
50,Mean Reward Against Steps,38.502201080322266,85579.0
51,Mean Reward Against Steps,-2.0,88079.0
52,Mean Reward Against Steps,-2.0,90579.0
53,Mean Reward Against Steps,-2.0,93079.0
54,Mean Reward Against Steps,-2.0,95579.0
55,Mean Reward Against Steps,-2.0,98079.0
56,Mean Reward Against Steps,-2.0,100579.0
57,Mean Reward Against Steps,78.38200378417969,102603.0
58,Mean Reward Against Steps,99.08380126953125,103750.0
59,Mean Reward Against Steps,99.47799682617188,104405.0
60,Mean Reward Against Steps,99.22799682617188,105372.0
61,Mean Reward Against Steps,99.09320068359375,106508.0
62,Mean Reward Against Steps,99.34739685058594,107325.0
63,Mean Reward Against Steps,79.00640106201172,108569.0
64,Mean Reward Against Steps,-2.0,111069.0
65,Mean Reward Against Steps,-2.0,113569.0
66,Mean Reward Against Steps,-2.0,116069.0
67,Mean Reward Against Steps,78.75859832763672,117622.0
68,Mean Reward Against Steps,99.40599822998047,118365.0
69,Mean Reward Against Steps,99.19000244140625,119379.0
70,Mean Reward Against Steps,-2.0,121879.0
71,Mean Reward Against Steps,-2.0,124379.0
72,Mean Reward Against Steps,-2.0,126879.0
73,Mean Reward Against Steps,-2.0,129379.0
74,Mean Reward Against Steps,-2.0,131879.0
75,Mean Reward Against Steps,-2.0,134379.0
76,Mean Reward Against Steps,18.185400009155273,136648.0
77,Mean Reward Against Steps,38.2775993347168,138802.0
78,Mean Reward Against Steps,78.68879699707031,140443.0
79,Mean Reward Against Steps,99.37079620361328,141232.0
80,Mean Reward Against Steps,99.47799682617188,141886.0
81,Mean Reward Against Steps,99.4207992553711,142612.0
82,Mean Reward Against Steps,99.67939758300781,143015.0
83,Mean Reward Against Steps,99.6897964477539,143405.0
84,Mean Reward Against Steps,99.37359619140625,144189.0
85,Mean Reward Against Steps,99.6666030883789,144608.0
86,Mean Reward Against Steps,18.31559944152832,146714.0
87,Mean Reward Against Steps,-2.0,149214.0
88,Mean Reward Against Steps,-2.0,151714.0
89,Mean Reward Against Steps,38.38159942626953,153737.0
90,Mean Reward Against Steps,99.25260162353516,154673.0
91,Mean Reward Against Steps,99.38619995117188,155442.0
92,Mean Reward Against Steps,78.8988037109375,156820.0
93,Mean Reward Against Steps,-2.0,159320.0
94,Mean Reward Against Steps,-2.0,161820.0
