,metric,value,step
0,Steps per episode,500.0,0.0
1,Steps per episode,393.0,5.0
2,Steps per episode,271.20001220703125,10.0
3,Steps per episode,247.1999969482422,15.0
4,Steps per episode,135.60000610351562,20.0
5,Steps per episode,178.1999969482422,25.0
6,Steps per episode,188.1999969482422,30.0
7,Steps per episode,118.80000305175781,35.0
8,Steps per episode,212.0,40.0
9,Steps per episode,191.60000610351562,45.0
10,Steps per episode,96.80000305175781,50.0
11,Steps per episode,118.0,55.0
12,Steps per episode,264.3999938964844,60.0
13,Steps per episode,197.8000030517578,65.0
14,Steps per episode,272.3999938964844,70.0
15,Steps per episode,130.60000610351562,75.0
16,Steps per episode,119.4000015258789,80.0
17,Steps per episode,135.1999969482422,85.0
18,Steps per episode,268.0,90.0
19,Steps per episode,106.4000015258789,95.0
20,Steps per episode,117.80000305175781,100.0
21,Steps per episode,170.0,105.0
22,Steps per episode,176.8000030517578,110.0
23,Steps per episode,147.0,115.0
24,Steps per episode,152.0,120.0
25,Steps per episode,203.1999969482422,125.0
26,Steps per episode,126.4000015258789,130.0
27,Steps per episode,102.0,135.0
28,Steps per episode,64.19999694824219,140.0
29,Steps per episode,90.80000305175781,145.0
30,Steps per episode,108.0,150.0
31,Steps per episode,102.4000015258789,155.0
32,Steps per episode,155.60000610351562,160.0
33,Steps per episode,152.39999389648438,165.0
34,Steps per episode,82.5999984741211,170.0
35,Steps per episode,130.8000030517578,175.0
36,Steps per episode,73.4000015258789,180.0
37,Steps per episode,68.4000015258789,185.0
38,Steps per episode,68.0,190.0
39,Steps per episode,78.4000015258789,195.0
40,Steps per episode,69.0,200.0
41,Steps per episode,100.19999694824219,205.0
42,Steps per episode,122.80000305175781,210.0
43,Steps per episode,88.5999984741211,215.0
44,Steps per episode,70.80000305175781,220.0
45,Steps per episode,58.79999923706055,225.0
46,Steps per episode,95.19999694824219,230.0
47,Steps per episode,83.19999694824219,235.0
48,Steps per episode,70.19999694824219,240.0
49,Steps per episode,76.80000305175781,245.0
50,Steps per episode,45.0,250.0
51,Steps per episode,96.4000015258789,255.0
52,Steps per episode,75.80000305175781,260.0
53,Steps per episode,49.599998474121094,265.0
54,Steps per episode,52.79999923706055,270.0
55,Steps per episode,83.19999694824219,275.0
56,Steps per episode,48.20000076293945,280.0
57,Steps per episode,56.20000076293945,285.0
58,Steps per episode,117.80000305175781,290.0
59,Steps per episode,44.20000076293945,295.0
60,Steps per episode,63.400001525878906,300.0
61,Steps per episode,81.19999694824219,305.0
62,Steps per episode,48.400001525878906,310.0
63,Steps per episode,54.79999923706055,315.0
64,Steps per episode,66.0,320.0
65,Steps per episode,55.0,325.0
66,Steps per episode,84.0,330.0
67,Steps per episode,46.599998474121094,335.0
68,Steps per episode,42.0,340.0
69,Steps per episode,66.19999694824219,345.0
70,Steps per episode,63.79999923706055,350.0
71,Steps per episode,51.20000076293945,355.0
72,Steps per episode,50.79999923706055,360.0
73,Steps per episode,50.599998474121094,365.0
74,Steps per episode,55.79999923706055,370.0
75,Steps per episode,65.19999694824219,375.0
76,Steps per episode,43.20000076293945,380.0
77,Steps per episode,49.599998474121094,385.0
78,Steps per episode,53.0,390.0
79,Steps per episode,56.400001525878906,395.0
80,Steps per episode,59.400001525878906,400.0
81,Steps per episode,49.400001525878906,405.0
82,Steps per episode,44.599998474121094,410.0
83,Steps per episode,48.599998474121094,415.0
84,Steps per episode,59.79999923706055,420.0
85,Steps per episode,58.0,425.0
86,Steps per episode,51.79999923706055,430.0
87,Steps per episode,58.20000076293945,435.0
88,Steps per episode,41.20000076293945,440.0
89,Steps per episode,52.20000076293945,445.0
90,Steps per episode,45.599998474121094,450.0
91,Steps per episode,45.79999923706055,455.0
92,Steps per episode,37.79999923706055,460.0
93,Steps per episode,44.79999923706055,465.0
94,Steps per episode,38.0,470.0
95,Steps per episode,50.599998474121094,475.0
96,Steps per episode,49.400001525878906,480.0
97,Steps per episode,45.599998474121094,485.0
98,Steps per episode,39.20000076293945,490.0
99,Steps per episode,43.599998474121094,495.0
100,Steps per episode,47.599998474121094,500.0
101,Steps per episode,39.20000076293945,505.0
102,Steps per episode,60.599998474121094,510.0
103,Steps per episode,40.20000076293945,515.0
104,Steps per episode,46.400001525878906,520.0
105,Steps per episode,46.0,525.0
106,Steps per episode,40.0,530.0
107,Steps per episode,43.400001525878906,535.0
108,Steps per episode,43.599998474121094,540.0
109,Steps per episode,41.79999923706055,545.0
110,Steps per episode,42.400001525878906,550.0
111,Steps per episode,42.400001525878906,555.0
112,Steps per episode,39.0,560.0
113,Steps per episode,37.0,565.0
114,Steps per episode,39.599998474121094,570.0
115,Steps per episode,42.79999923706055,575.0
116,Steps per episode,45.0,580.0
117,Steps per episode,43.79999923706055,585.0
118,Steps per episode,44.79999923706055,590.0
119,Steps per episode,47.599998474121094,595.0
120,Steps per episode,43.20000076293945,600.0
121,Steps per episode,63.0,605.0
122,Steps per episode,61.599998474121094,610.0
123,Steps per episode,56.79999923706055,615.0
124,Steps per episode,47.400001525878906,620.0
125,Steps per episode,65.19999694824219,625.0
126,Steps per episode,42.0,630.0
