,metric,value,step
0,Steps per episode,1250.0,0.0
1,Steps per episode,1143.0,5.0
2,Steps per episode,1250.0,10.0
3,Steps per episode,1069.800048828125,15.0
4,Steps per episode,1250.0,20.0
5,Steps per episode,1126.0,25.0
6,Steps per episode,1250.0,30.0
7,Steps per episode,1026.0,35.0
8,Steps per episode,1250.0,40.0
9,Steps per episode,1126.0,45.0
10,Steps per episode,1203.4000244140625,50.0
11,Steps per episode,928.5999755859375,55.0
12,Steps per episode,1158.4000244140625,60.0
13,Steps per episode,1044.800048828125,65.0
14,Steps per episode,1162.4000244140625,70.0
15,Steps per episode,1250.0,75.0
16,Steps per episode,1048.199951171875,80.0
17,Steps per episode,1250.0,85.0
18,Steps per episode,1183.199951171875,90.0
19,Steps per episode,1250.0,95.0
20,Steps per episode,1250.0,100.0
21,Steps per episode,1177.5999755859375,105.0
22,Steps per episode,1250.0,110.0
23,Steps per episode,993.5999755859375,115.0
24,Steps per episode,1122.5999755859375,120.0
25,Steps per episode,1046.5999755859375,125.0
26,Steps per episode,1250.0,130.0
27,Steps per episode,1034.800048828125,135.0
28,Steps per episode,1000.5999755859375,140.0
29,Steps per episode,1039.5999755859375,145.0
30,Steps per episode,1250.0,150.0
31,Steps per episode,1076.800048828125,155.0
32,Steps per episode,1049.4000244140625,160.0
33,Steps per episode,1095.4000244140625,165.0
34,Steps per episode,1046.5999755859375,170.0
35,Steps per episode,1094.4000244140625,175.0
36,Steps per episode,1250.0,180.0
37,Steps per episode,1250.0,185.0
38,Steps per episode,1129.800048828125,190.0
39,Steps per episode,992.5999755859375,195.0
40,Steps per episode,1046.0,200.0
41,Steps per episode,1250.0,205.0
42,Steps per episode,1249.5999755859375,210.0
43,Steps per episode,1116.0,215.0
44,Steps per episode,1202.4000244140625,220.0
45,Steps per episode,936.4000244140625,225.0
46,Steps per episode,1250.0,230.0
47,Steps per episode,1250.0,235.0
48,Steps per episode,1138.0,240.0
49,Steps per episode,1055.4000244140625,245.0
50,Steps per episode,1029.199951171875,250.0
51,Steps per episode,1191.0,255.0
52,Steps per episode,1118.800048828125,260.0
53,Steps per episode,1250.0,265.0
54,Steps per episode,1077.199951171875,270.0
55,Steps per episode,1163.0,275.0
56,Steps per episode,1073.5999755859375,280.0
57,Steps per episode,1250.0,285.0
58,Steps per episode,1150.199951171875,290.0
59,Steps per episode,1250.0,295.0
60,Steps per episode,981.0,300.0
61,Steps per episode,1069.800048828125,305.0
62,Steps per episode,1149.4000244140625,310.0
63,Steps per episode,1070.4000244140625,315.0
64,Steps per episode,1250.0,320.0
65,Steps per episode,1250.0,325.0
66,Steps per episode,1085.4000244140625,330.0
67,Steps per episode,1088.0,335.0
68,Steps per episode,1162.800048828125,340.0
69,Steps per episode,966.2000122070312,345.0
70,Steps per episode,1250.0,350.0
71,Steps per episode,974.5999755859375,355.0
72,Steps per episode,1250.0,360.0
73,Steps per episode,994.2000122070312,365.0
74,Steps per episode,1250.0,370.0
75,Steps per episode,997.2000122070312,375.0
76,Steps per episode,1077.4000244140625,380.0
77,Steps per episode,1159.199951171875,385.0
78,Steps per episode,1245.800048828125,390.0
79,Steps per episode,1073.199951171875,395.0
80,Steps per episode,1079.5999755859375,400.0
81,Steps per episode,1108.0,405.0
82,Steps per episode,968.0,410.0
83,Steps per episode,1127.0,415.0
84,Steps per episode,1250.0,420.0
85,Steps per episode,1143.0,425.0
86,Steps per episode,872.4000244140625,430.0
87,Steps per episode,1074.4000244140625,435.0
88,Steps per episode,1083.800048828125,440.0
89,Steps per episode,1250.0,445.0
90,Steps per episode,792.0,450.0
91,Steps per episode,944.5999755859375,455.0
92,Steps per episode,1072.800048828125,460.0
93,Steps per episode,888.4000244140625,465.0
94,Steps per episode,938.2000122070312,470.0
95,Steps per episode,1037.0,475.0
96,Steps per episode,1250.0,480.0
97,Steps per episode,1180.199951171875,485.0
98,Steps per episode,948.0,490.0
99,Steps per episode,1211.0,495.0
