,metric,value,step
0,Steps per episode,241.0,0.0
1,Steps per episode,383.20001220703125,5.0
2,Steps per episode,528.0,10.0
3,Steps per episode,435.0,15.0
4,Steps per episode,412.0,20.0
5,Steps per episode,409.79998779296875,25.0
6,Steps per episode,473.0,30.0
7,Steps per episode,392.79998779296875,35.0
8,Steps per episode,528.0,40.0
9,Steps per episode,305.6000061035156,45.0
10,Steps per episode,453.6000061035156,50.0
11,Steps per episode,424.6000061035156,55.0
12,Steps per episode,528.0,60.0
13,Steps per episode,528.0,65.0
14,Steps per episode,528.0,70.0
15,Steps per episode,528.0,75.0
16,Steps per episode,403.0,80.0
17,Steps per episode,499.20001220703125,85.0
18,Steps per episode,528.0,90.0
19,Steps per episode,528.0,95.0
20,Steps per episode,464.6000061035156,100.0
21,Steps per episode,424.0,105.0
22,Steps per episode,406.6000061035156,110.0
23,Steps per episode,438.20001220703125,115.0
24,Steps per episode,528.0,120.0
25,Steps per episode,528.0,125.0
26,Steps per episode,518.7999877929688,130.0
27,Steps per episode,412.79998779296875,135.0
28,Steps per episode,427.6000061035156,140.0
29,Steps per episode,528.0,145.0
30,Steps per episode,523.5999755859375,150.0
31,Steps per episode,434.0,155.0
32,Steps per episode,432.6000061035156,160.0
33,Steps per episode,337.3999938964844,165.0
34,Steps per episode,528.0,170.0
35,Steps per episode,445.3999938964844,175.0
36,Steps per episode,528.0,180.0
37,Steps per episode,329.3999938964844,185.0
38,Steps per episode,448.20001220703125,190.0
39,Steps per episode,528.0,195.0
40,Steps per episode,478.6000061035156,200.0
41,Steps per episode,398.6000061035156,205.0
42,Steps per episode,395.20001220703125,210.0
43,Steps per episode,356.20001220703125,215.0
44,Steps per episode,435.6000061035156,220.0
45,Steps per episode,437.20001220703125,225.0
46,Steps per episode,466.3999938964844,230.0
47,Steps per episode,528.0,235.0
48,Steps per episode,521.5999755859375,240.0
49,Steps per episode,528.0,245.0
50,Steps per episode,485.20001220703125,250.0
51,Steps per episode,460.79998779296875,255.0
52,Steps per episode,528.0,260.0
53,Steps per episode,379.0,265.0
54,Steps per episode,395.3999938964844,270.0
55,Steps per episode,346.3999938964844,275.0
56,Steps per episode,528.0,280.0
57,Steps per episode,471.3999938964844,285.0
58,Steps per episode,528.0,290.0
59,Steps per episode,464.6000061035156,295.0
60,Steps per episode,449.0,300.0
61,Steps per episode,446.20001220703125,305.0
62,Steps per episode,389.20001220703125,310.0
63,Steps per episode,528.0,315.0
64,Steps per episode,483.79998779296875,320.0
65,Steps per episode,354.0,325.0
66,Steps per episode,437.3999938964844,330.0
67,Steps per episode,528.0,335.0
68,Steps per episode,495.79998779296875,340.0
69,Steps per episode,528.0,345.0
70,Steps per episode,528.0,350.0
71,Steps per episode,528.0,355.0
72,Steps per episode,528.0,360.0
73,Steps per episode,528.0,365.0
74,Steps per episode,528.0,370.0
75,Steps per episode,424.79998779296875,375.0
76,Steps per episode,416.20001220703125,380.0
77,Steps per episode,333.20001220703125,385.0
78,Steps per episode,471.79998779296875,390.0
79,Steps per episode,523.2000122070312,395.0
80,Steps per episode,444.0,400.0
81,Steps per episode,528.0,405.0
82,Steps per episode,474.79998779296875,410.0
83,Steps per episode,528.0,415.0
84,Steps per episode,528.0,420.0
85,Steps per episode,528.0,425.0
86,Steps per episode,489.0,430.0
87,Steps per episode,528.0,435.0
88,Steps per episode,528.0,440.0
89,Steps per episode,528.0,445.0
90,Steps per episode,496.3999938964844,450.0
91,Steps per episode,442.20001220703125,455.0
92,Steps per episode,423.79998779296875,460.0
93,Steps per episode,528.0,465.0
94,Steps per episode,275.79998779296875,470.0
95,Steps per episode,528.0,475.0
96,Steps per episode,421.0,480.0
97,Steps per episode,404.3999938964844,485.0
98,Steps per episode,528.0,490.0
99,Steps per episode,450.20001220703125,495.0
100,Steps per episode,478.6000061035156,500.0
101,Steps per episode,528.0,505.0
102,Steps per episode,528.0,510.0
103,Steps per episode,528.0,515.0
104,Steps per episode,487.6000061035156,520.0
105,Steps per episode,454.0,525.0
106,Steps per episode,453.79998779296875,530.0
107,Steps per episode,352.79998779296875,535.0
108,Steps per episode,474.20001220703125,540.0
109,Steps per episode,528.0,545.0
110,Steps per episode,472.6000061035156,550.0
111,Steps per episode,519.7999877929688,555.0
112,Steps per episode,321.3999938964844,560.0
113,Steps per episode,482.0,565.0
114,Steps per episode,482.79998779296875,570.0
115,Steps per episode,424.20001220703125,575.0
116,Steps per episode,524.2000122070312,580.0
117,Steps per episode,427.79998779296875,585.0
118,Steps per episode,528.0,590.0
119,Steps per episode,504.6000061035156,595.0
120,Steps per episode,528.0,600.0
121,Steps per episode,503.79998779296875,605.0
122,Steps per episode,492.20001220703125,610.0
123,Steps per episode,429.20001220703125,615.0
124,Steps per episode,424.20001220703125,620.0
125,Steps per episode,471.20001220703125,625.0
126,Steps per episode,430.6000061035156,630.0
127,Steps per episode,528.0,635.0
128,Steps per episode,514.2000122070312,640.0
129,Steps per episode,458.79998779296875,645.0
130,Steps per episode,528.0,650.0
131,Steps per episode,396.20001220703125,655.0
132,Steps per episode,458.3999938964844,660.0
133,Steps per episode,528.0,665.0
134,Steps per episode,426.20001220703125,670.0
135,Steps per episode,341.20001220703125,675.0
136,Steps per episode,254.8000030517578,680.0
137,Steps per episode,481.0,685.0
138,Steps per episode,434.79998779296875,690.0
139,Steps per episode,437.6000061035156,695.0
140,Steps per episode,502.0,700.0
141,Steps per episode,528.0,705.0
142,Steps per episode,528.0,710.0
143,Steps per episode,425.3999938964844,715.0
144,Steps per episode,433.0,720.0
145,Steps per episode,514.2000122070312,725.0
146,Steps per episode,488.0,730.0
147,Steps per episode,528.0,735.0
148,Steps per episode,479.3999938964844,740.0
149,Steps per episode,411.20001220703125,745.0
150,Steps per episode,389.20001220703125,750.0
151,Steps per episode,384.20001220703125,755.0
152,Steps per episode,528.0,760.0
153,Steps per episode,527.0,765.0
154,Steps per episode,295.3999938964844,770.0
155,Steps per episode,528.0,775.0
