,metric,value,step
0,steps_against_episodes,500.0,0.0
1,steps_against_episodes,339.6000061035156,10.0
2,steps_against_episodes,329.1000061035156,20.0
3,steps_against_episodes,431.20001220703125,30.0
4,steps_against_episodes,305.20001220703125,40.0
5,steps_against_episodes,294.8999938964844,50.0
6,steps_against_episodes,367.0,60.0
7,steps_against_episodes,414.0,70.0
8,steps_against_episodes,364.5,80.0
9,steps_against_episodes,413.3999938964844,90.0
10,steps_against_episodes,418.6000061035156,100.0
11,steps_against_episodes,360.8999938964844,110.0
12,steps_against_episodes,386.79998779296875,120.0
13,steps_against_episodes,305.1000061035156,130.0
14,steps_against_episodes,337.0,140.0
15,steps_against_episodes,247.10000610351562,150.0
16,steps_against_episodes,466.20001220703125,160.0
17,steps_against_episodes,358.70001220703125,170.0
18,steps_against_episodes,274.5,180.0
19,steps_against_episodes,387.5,190.0
20,steps_against_episodes,336.29998779296875,200.0
21,steps_against_episodes,358.1000061035156,210.0
22,steps_against_episodes,414.0,220.0
23,steps_against_episodes,377.29998779296875,230.0
24,steps_against_episodes,332.20001220703125,240.0
25,steps_against_episodes,450.6000061035156,250.0
26,steps_against_episodes,318.79998779296875,260.0
27,steps_against_episodes,365.6000061035156,270.0
28,steps_against_episodes,430.5,280.0
29,steps_against_episodes,388.3999938964844,290.0
30,steps_against_episodes,355.1000061035156,300.0
31,steps_against_episodes,343.20001220703125,310.0
32,steps_against_episodes,395.5,320.0
33,steps_against_episodes,379.6000061035156,330.0
34,steps_against_episodes,411.79998779296875,340.0
35,steps_against_episodes,370.5,350.0
36,steps_against_episodes,493.6000061035156,360.0
37,steps_against_episodes,212.60000610351562,370.0
38,steps_against_episodes,441.20001220703125,380.0
39,steps_against_episodes,297.20001220703125,390.0
40,steps_against_episodes,354.70001220703125,400.0
41,steps_against_episodes,324.0,410.0
42,steps_against_episodes,362.3999938964844,420.0
43,steps_against_episodes,432.6000061035156,430.0
44,steps_against_episodes,359.70001220703125,440.0
45,steps_against_episodes,388.20001220703125,450.0
46,steps_against_episodes,380.29998779296875,460.0
47,steps_against_episodes,347.29998779296875,470.0
48,steps_against_episodes,327.8999938964844,480.0
49,steps_against_episodes,293.1000061035156,490.0
50,steps_against_episodes,396.3999938964844,500.0
51,steps_against_episodes,375.8999938964844,510.0
52,steps_against_episodes,346.3999938964844,520.0
53,steps_against_episodes,326.3999938964844,530.0
54,steps_against_episodes,377.6000061035156,540.0
55,steps_against_episodes,398.8999938964844,550.0
56,steps_against_episodes,329.20001220703125,560.0
57,steps_against_episodes,277.5,570.0
58,steps_against_episodes,267.1000061035156,580.0
59,steps_against_episodes,375.29998779296875,590.0
60,steps_against_episodes,283.8999938964844,600.0
61,steps_against_episodes,338.5,610.0
62,steps_against_episodes,423.0,620.0
63,steps_against_episodes,283.20001220703125,630.0
64,steps_against_episodes,336.20001220703125,640.0
65,steps_against_episodes,325.1000061035156,650.0
66,steps_against_episodes,243.8000030517578,660.0
67,steps_against_episodes,370.20001220703125,670.0
68,steps_against_episodes,456.3999938964844,680.0
69,steps_against_episodes,280.29998779296875,690.0
70,steps_against_episodes,357.29998779296875,700.0
71,steps_against_episodes,370.3999938964844,710.0
72,steps_against_episodes,263.6000061035156,720.0
73,steps_against_episodes,349.29998779296875,730.0
74,steps_against_episodes,315.29998779296875,740.0
75,steps_against_episodes,344.20001220703125,750.0
76,steps_against_episodes,402.79998779296875,760.0
77,steps_against_episodes,337.6000061035156,770.0
78,steps_against_episodes,316.6000061035156,780.0
79,steps_against_episodes,347.3999938964844,790.0
80,steps_against_episodes,317.79998779296875,800.0
81,steps_against_episodes,455.20001220703125,810.0
82,steps_against_episodes,408.1000061035156,820.0
83,steps_against_episodes,295.1000061035156,830.0
84,steps_against_episodes,302.0,840.0
85,steps_against_episodes,218.60000610351562,850.0
86,steps_against_episodes,245.5,860.0
87,steps_against_episodes,250.89999389648438,870.0
88,steps_against_episodes,352.8999938964844,880.0
89,steps_against_episodes,328.8999938964844,890.0
90,steps_against_episodes,368.29998779296875,900.0
91,steps_against_episodes,354.1000061035156,910.0
92,steps_against_episodes,280.6000061035156,920.0
93,steps_against_episodes,287.0,930.0
94,steps_against_episodes,237.1999969482422,940.0
95,steps_against_episodes,371.1000061035156,950.0
96,steps_against_episodes,394.6000061035156,960.0
97,steps_against_episodes,458.0,970.0
98,steps_against_episodes,346.0,980.0
99,steps_against_episodes,320.29998779296875,990.0
100,steps_against_episodes,401.0,1000.0
101,steps_against_episodes,230.1999969482422,1010.0
102,steps_against_episodes,222.1999969482422,1020.0
103,steps_against_episodes,382.1000061035156,1030.0
104,steps_against_episodes,336.70001220703125,1040.0
105,steps_against_episodes,319.70001220703125,1050.0
106,steps_against_episodes,376.79998779296875,1060.0
107,steps_against_episodes,282.70001220703125,1070.0
108,steps_against_episodes,323.29998779296875,1080.0
109,steps_against_episodes,377.79998779296875,1090.0
110,steps_against_episodes,383.6000061035156,1100.0
111,steps_against_episodes,292.29998779296875,1110.0
112,steps_against_episodes,366.3999938964844,1120.0
113,steps_against_episodes,262.79998779296875,1130.0
114,steps_against_episodes,245.89999389648438,1140.0
115,steps_against_episodes,216.6999969482422,1150.0
116,steps_against_episodes,305.5,1160.0
117,steps_against_episodes,389.8999938964844,1170.0
118,steps_against_episodes,370.3999938964844,1180.0
119,steps_against_episodes,240.3000030517578,1190.0
120,steps_against_episodes,288.6000061035156,1200.0
121,steps_against_episodes,264.29998779296875,1210.0
122,steps_against_episodes,269.6000061035156,1220.0
123,steps_against_episodes,324.1000061035156,1230.0
124,steps_against_episodes,278.70001220703125,1240.0
125,steps_against_episodes,229.8000030517578,1250.0
126,steps_against_episodes,229.8000030517578,1260.0
127,steps_against_episodes,322.0,1270.0
128,steps_against_episodes,391.1000061035156,1280.0
129,steps_against_episodes,306.20001220703125,1290.0
130,steps_against_episodes,333.6000061035156,1300.0
131,steps_against_episodes,310.3999938964844,1310.0
132,steps_against_episodes,329.3999938964844,1320.0
133,steps_against_episodes,332.1000061035156,1330.0
134,steps_against_episodes,384.0,1340.0
135,steps_against_episodes,262.29998779296875,1350.0
136,steps_against_episodes,317.29998779296875,1360.0
137,steps_against_episodes,449.20001220703125,1370.0
138,steps_against_episodes,394.20001220703125,1380.0
139,steps_against_episodes,317.20001220703125,1390.0
140,steps_against_episodes,250.0,1400.0
141,steps_against_episodes,283.70001220703125,1410.0
142,steps_against_episodes,265.0,1420.0
143,steps_against_episodes,245.1999969482422,1430.0
144,steps_against_episodes,254.10000610351562,1440.0
145,steps_against_episodes,307.20001220703125,1450.0
146,steps_against_episodes,396.29998779296875,1460.0
147,steps_against_episodes,489.5,1470.0
148,steps_against_episodes,443.20001220703125,1480.0
149,steps_against_episodes,421.3999938964844,1490.0
150,steps_against_episodes,435.3999938964844,1500.0
151,steps_against_episodes,439.6000061035156,1510.0
152,steps_against_episodes,320.6000061035156,1520.0
153,steps_against_episodes,345.6000061035156,1530.0
154,steps_against_episodes,375.79998779296875,1540.0
155,steps_against_episodes,231.1999969482422,1550.0
156,steps_against_episodes,248.89999389648438,1560.0
157,steps_against_episodes,286.3999938964844,1570.0
158,steps_against_episodes,271.1000061035156,1580.0
159,steps_against_episodes,331.6000061035156,1590.0
160,steps_against_episodes,304.79998779296875,1600.0
161,steps_against_episodes,327.79998779296875,1610.0
162,steps_against_episodes,446.0,1620.0
163,steps_against_episodes,285.6000061035156,1630.0
164,steps_against_episodes,238.5,1640.0
165,steps_against_episodes,381.79998779296875,1650.0
166,steps_against_episodes,394.8999938964844,1660.0
167,steps_against_episodes,401.1000061035156,1670.0
168,steps_against_episodes,394.20001220703125,1680.0
169,steps_against_episodes,361.1000061035156,1690.0
170,steps_against_episodes,383.1000061035156,1700.0
171,steps_against_episodes,438.3999938964844,1710.0
172,steps_against_episodes,349.29998779296875,1720.0
173,steps_against_episodes,284.20001220703125,1730.0
174,steps_against_episodes,387.70001220703125,1740.0
175,steps_against_episodes,404.6000061035156,1750.0
176,steps_against_episodes,231.60000610351562,1760.0
177,steps_against_episodes,346.8999938964844,1770.0
178,steps_against_episodes,372.8999938964844,1780.0
179,steps_against_episodes,387.3999938964844,1790.0
180,steps_against_episodes,330.79998779296875,1800.0
181,steps_against_episodes,316.70001220703125,1810.0
182,steps_against_episodes,308.6000061035156,1820.0
183,steps_against_episodes,344.6000061035156,1830.0
184,steps_against_episodes,277.3999938964844,1840.0
185,steps_against_episodes,314.1000061035156,1850.0
186,steps_against_episodes,368.79998779296875,1860.0
187,steps_against_episodes,390.8999938964844,1870.0
188,steps_against_episodes,354.5,1880.0
189,steps_against_episodes,343.70001220703125,1890.0
190,steps_against_episodes,329.6000061035156,1900.0
191,steps_against_episodes,340.1000061035156,1910.0
192,steps_against_episodes,255.39999389648438,1920.0
193,steps_against_episodes,292.20001220703125,1930.0
194,steps_against_episodes,339.70001220703125,1940.0
195,steps_against_episodes,372.8999938964844,1950.0
196,steps_against_episodes,388.20001220703125,1960.0
197,steps_against_episodes,309.8999938964844,1970.0
198,steps_against_episodes,321.20001220703125,1980.0
199,steps_against_episodes,363.5,1990.0
200,steps_against_episodes,426.20001220703125,2000.0
201,steps_against_episodes,341.6000061035156,2010.0
202,steps_against_episodes,350.70001220703125,2020.0
203,steps_against_episodes,363.70001220703125,2030.0
204,steps_against_episodes,437.3999938964844,2040.0
205,steps_against_episodes,326.70001220703125,2050.0
206,steps_against_episodes,230.3000030517578,2060.0
207,steps_against_episodes,378.6000061035156,2070.0
208,steps_against_episodes,432.29998779296875,2080.0
209,steps_against_episodes,305.8999938964844,2090.0
210,steps_against_episodes,390.0,2100.0
211,steps_against_episodes,382.6000061035156,2110.0
212,steps_against_episodes,457.1000061035156,2120.0
213,steps_against_episodes,402.1000061035156,2130.0
