,metric,value,step
0,steps_against_episodes,500.0,0.0
1,steps_against_episodes,349.0,10.0
2,steps_against_episodes,324.20001220703125,20.0
3,steps_against_episodes,371.8999938964844,30.0
4,steps_against_episodes,471.3999938964844,40.0
5,steps_against_episodes,373.5,50.0
6,steps_against_episodes,269.1000061035156,60.0
7,steps_against_episodes,378.6000061035156,70.0
8,steps_against_episodes,334.5,80.0
9,steps_against_episodes,370.8999938964844,90.0
10,steps_against_episodes,389.20001220703125,100.0
11,steps_against_episodes,295.8999938964844,110.0
12,steps_against_episodes,283.29998779296875,120.0
13,steps_against_episodes,390.3999938964844,130.0
14,steps_against_episodes,279.5,140.0
15,steps_against_episodes,431.0,150.0
16,steps_against_episodes,273.0,160.0
17,steps_against_episodes,367.20001220703125,170.0
18,steps_against_episodes,290.5,180.0
19,steps_against_episodes,426.0,190.0
20,steps_against_episodes,312.20001220703125,200.0
21,steps_against_episodes,396.79998779296875,210.0
22,steps_against_episodes,333.29998779296875,220.0
23,steps_against_episodes,385.1000061035156,230.0
24,steps_against_episodes,310.3999938964844,240.0
25,steps_against_episodes,356.0,250.0
26,steps_against_episodes,345.5,260.0
27,steps_against_episodes,368.79998779296875,270.0
28,steps_against_episodes,307.1000061035156,280.0
29,steps_against_episodes,386.29998779296875,290.0
30,steps_against_episodes,383.3999938964844,300.0
31,steps_against_episodes,322.70001220703125,310.0
32,steps_against_episodes,404.70001220703125,320.0
33,steps_against_episodes,368.5,330.0
34,steps_against_episodes,424.6000061035156,340.0
35,steps_against_episodes,433.79998779296875,350.0
36,steps_against_episodes,345.6000061035156,360.0
37,steps_against_episodes,384.8999938964844,370.0
38,steps_against_episodes,354.79998779296875,380.0
39,steps_against_episodes,366.8999938964844,390.0
40,steps_against_episodes,331.3999938964844,400.0
41,steps_against_episodes,372.1000061035156,410.0
42,steps_against_episodes,384.70001220703125,420.0
43,steps_against_episodes,297.0,430.0
44,steps_against_episodes,407.5,440.0
45,steps_against_episodes,392.8999938964844,450.0
46,steps_against_episodes,375.8999938964844,460.0
47,steps_against_episodes,334.1000061035156,470.0
48,steps_against_episodes,438.5,480.0
49,steps_against_episodes,323.29998779296875,490.0
50,steps_against_episodes,450.0,500.0
51,steps_against_episodes,382.20001220703125,510.0
52,steps_against_episodes,443.3999938964844,520.0
