,metric,value,step
0,steps_against_episodes,1000.0,0.0
1,steps_against_episodes,1000.0,10.0
2,steps_against_episodes,911.2000122070312,20.0
3,steps_against_episodes,1000.0,30.0
4,steps_against_episodes,1000.0,40.0
5,steps_against_episodes,862.0,50.0
6,steps_against_episodes,994.5,60.0
7,steps_against_episodes,1000.0,70.0
8,steps_against_episodes,876.9000244140625,80.0
9,steps_against_episodes,880.0999755859375,90.0
10,steps_against_episodes,917.2000122070312,100.0
11,steps_against_episodes,934.7000122070312,110.0
12,steps_against_episodes,1000.0,120.0
13,steps_against_episodes,949.4000244140625,130.0
14,steps_against_episodes,923.5999755859375,140.0
15,steps_against_episodes,930.0999755859375,150.0
16,steps_against_episodes,862.7000122070312,160.0
17,steps_against_episodes,914.2999877929688,170.0
18,steps_against_episodes,909.7000122070312,180.0
19,steps_against_episodes,894.2999877929688,190.0
20,steps_against_episodes,953.0,200.0
21,steps_against_episodes,909.0,210.0
22,steps_against_episodes,905.7999877929688,220.0
23,steps_against_episodes,973.5,230.0
24,steps_against_episodes,1000.0,240.0
25,steps_against_episodes,990.4000244140625,250.0
26,steps_against_episodes,1000.0,260.0
27,steps_against_episodes,833.7999877929688,270.0
28,steps_against_episodes,913.0999755859375,280.0
29,steps_against_episodes,1000.0,290.0
30,steps_against_episodes,917.5,300.0
31,steps_against_episodes,1000.0,310.0
32,steps_against_episodes,1000.0,320.0
33,steps_against_episodes,964.5,330.0
34,steps_against_episodes,937.9000244140625,340.0
35,steps_against_episodes,1000.0,350.0
36,steps_against_episodes,974.4000244140625,360.0
37,steps_against_episodes,906.2999877929688,370.0
38,steps_against_episodes,1000.0,380.0
39,steps_against_episodes,1000.0,390.0
40,steps_against_episodes,977.7000122070312,400.0
41,steps_against_episodes,976.2999877929688,410.0
42,steps_against_episodes,925.4000244140625,420.0
43,steps_against_episodes,914.5,430.0
44,steps_against_episodes,1000.0,440.0
45,steps_against_episodes,931.2000122070312,450.0
46,steps_against_episodes,1000.0,460.0
47,steps_against_episodes,854.7000122070312,470.0
48,steps_against_episodes,957.9000244140625,480.0
49,steps_against_episodes,939.0999755859375,490.0
50,steps_against_episodes,986.5,500.0
51,steps_against_episodes,893.0,510.0
52,steps_against_episodes,952.0,520.0
53,steps_against_episodes,960.5999755859375,530.0
54,steps_against_episodes,988.2000122070312,540.0
55,steps_against_episodes,952.5,550.0
56,steps_against_episodes,953.2999877929688,560.0
57,steps_against_episodes,1000.0,570.0
58,steps_against_episodes,997.4000244140625,580.0
59,steps_against_episodes,1000.0,590.0
60,steps_against_episodes,978.0999755859375,600.0
61,steps_against_episodes,1000.0,610.0
62,steps_against_episodes,994.2000122070312,620.0
63,steps_against_episodes,1000.0,630.0
64,steps_against_episodes,979.5,640.0
65,steps_against_episodes,924.4000244140625,650.0
66,steps_against_episodes,1000.0,660.0
67,steps_against_episodes,968.2999877929688,670.0
68,steps_against_episodes,1000.0,680.0
69,steps_against_episodes,953.4000244140625,690.0
70,steps_against_episodes,1000.0,700.0
71,steps_against_episodes,864.2000122070312,710.0
72,steps_against_episodes,1000.0,720.0
73,steps_against_episodes,961.0999755859375,730.0
74,steps_against_episodes,1000.0,740.0
75,steps_against_episodes,1000.0,750.0
76,steps_against_episodes,1000.0,760.0
77,steps_against_episodes,955.5999755859375,770.0
78,steps_against_episodes,997.7000122070312,780.0
79,steps_against_episodes,1000.0,790.0
80,steps_against_episodes,983.5,800.0
81,steps_against_episodes,1000.0,810.0
82,steps_against_episodes,967.2999877929688,820.0
83,steps_against_episodes,1000.0,830.0
84,steps_against_episodes,1000.0,840.0
85,steps_against_episodes,958.5,850.0
86,steps_against_episodes,960.2000122070312,860.0
87,steps_against_episodes,1000.0,870.0
88,steps_against_episodes,937.4000244140625,880.0
89,steps_against_episodes,1000.0,890.0
90,steps_against_episodes,967.5999755859375,900.0
91,steps_against_episodes,947.9000244140625,910.0
92,steps_against_episodes,961.9000244140625,920.0
93,steps_against_episodes,979.0,930.0
94,steps_against_episodes,979.9000244140625,940.0
95,steps_against_episodes,951.5,950.0
96,steps_against_episodes,1000.0,960.0
97,steps_against_episodes,1000.0,970.0
98,steps_against_episodes,961.2000122070312,980.0
99,steps_against_episodes,1000.0,990.0
