,metric,value,step
0,loss,0.04186758026480675,0.0
1,loss,0.031142404302954674,10.0
2,loss,0.02598678693175316,20.0
3,loss,0.018335405737161636,30.0
4,loss,0.01485958881676197,40.0
5,loss,0.7895413041114807,50.0
6,loss,0.010245675221085548,60.0
7,loss,0.007428640965372324,70.0
8,loss,0.007268108427524567,80.0
9,loss,0.004206874407827854,90.0
10,loss,0.0018308702856302261,100.0
11,loss,0.0023142853751778603,110.0
12,loss,0.7787538766860962,120.0
13,loss,0.0011430730810388923,130.0
14,loss,0.0018256091279909015,140.0
15,loss,0.0005140275461599231,150.0
16,loss,0.0010256487876176834,160.0
17,loss,-1.6063102521002293e-05,170.0
18,loss,-0.00018536753486841917,180.0
19,loss,-7.642456330358982e-05,190.0
20,loss,-0.0007241538260132074,200.0
21,loss,-0.0008429990848526359,210.0
22,loss,-0.0010600662790238857,220.0
23,loss,-0.0011405620025470853,230.0
24,loss,-0.0004916677717119455,240.0
25,loss,-0.0010367920622229576,250.0
26,loss,-0.0007928234990686178,260.0
27,loss,-7.944670505821705e-05,270.0
28,loss,-0.0011111119529232383,280.0
29,loss,-0.0006055214907974005,290.0
30,loss,-0.0010355778504163027,300.0
31,loss,-0.0001239253906533122,310.0
32,loss,-0.0004736881237477064,320.0
33,loss,-0.0007061054348014295,330.0
34,loss,-0.0012828740291297436,340.0
35,loss,-0.00011660729069262743,350.0
36,loss,-0.0003437208943068981,360.0
37,loss,-0.000626064429525286,370.0
38,loss,-0.0003440260188654065,380.0
39,loss,-0.0007160393870435655,390.0
40,loss,-0.0007604799466207623,400.0
41,loss,-0.0006802394054830074,410.0
42,loss,-0.0007589770248159766,420.0
43,loss,-0.0010536623885855079,430.0
44,loss,-0.00021397933596745133,440.0
45,loss,-0.000497387838549912,450.0
46,loss,-0.0007484277011826634,460.0
47,loss,-0.0014196718111634254,470.0
48,loss,-0.0013737960252910852,480.0
49,loss,-0.00108315737452358,490.0
50,loss,-0.0005998690030537546,500.0
51,loss,-0.0011434000916779041,510.0
52,loss,-0.0008402153034694493,520.0
53,loss,-0.001124418224208057,530.0
54,loss,-0.0014560805866494775,540.0
55,loss,-0.0012534172274172306,550.0
56,loss,-0.0011945448350161314,560.0
57,loss,-0.0009513839613646269,570.0
58,loss,-0.0008067282615229487,580.0
59,loss,-0.001100998604670167,590.0
60,loss,-0.0011199720902368426,600.0
61,loss,-0.0009531289106234908,610.0
62,loss,-0.0005458903033286333,620.0
63,loss,-0.0002647459041327238,630.0
64,loss,-0.0008742475765757263,640.0
65,loss,-0.0009355574147775769,650.0
66,loss,-0.001017500413581729,660.0
67,loss,-0.0010296364780515432,670.0
68,loss,-0.0013034138828516006,680.0
69,loss,-0.0013561449013650417,690.0
70,loss,-0.001060663373209536,700.0
71,loss,-0.0009009651839733124,710.0
72,loss,-0.0005390665610320866,720.0
73,loss,-0.0009695104090496898,730.0
74,loss,-0.0008777319453656673,740.0
75,loss,-0.00050576456123963,750.0
76,loss,-0.001054439228028059,760.0
77,loss,-0.0008011944009922445,770.0
78,loss,-0.0012815381633117795,780.0
79,loss,-0.0015681954100728035,790.0
80,loss,-0.0010308215860277414,800.0
81,loss,-0.0008741493802517653,810.0
82,loss,-0.0009760779794305563,820.0
83,loss,-0.0011049173772335052,830.0
84,loss,-0.0014231210807338357,840.0
85,loss,-0.0016576366033405066,850.0
86,loss,-0.0011376806069165468,860.0
87,loss,-0.0010030928533524275,870.0
