,metric,value,step
0,Steps per episode,500.0,0.0
1,Steps per episode,426.3999938964844,5.0
2,Steps per episode,316.6000061035156,10.0
3,Steps per episode,500.0,15.0
4,Steps per episode,500.0,20.0
5,Steps per episode,447.0,25.0
6,Steps per episode,435.3999938964844,30.0
7,Steps per episode,447.79998779296875,35.0
8,Steps per episode,378.20001220703125,40.0
9,Steps per episode,424.0,45.0
10,Steps per episode,286.79998779296875,50.0
11,Steps per episode,416.3999938964844,55.0
12,Steps per episode,500.0,60.0
13,Steps per episode,402.0,65.0
14,Steps per episode,437.6000061035156,70.0
15,Steps per episode,432.0,75.0
16,Steps per episode,410.79998779296875,80.0
17,Steps per episode,406.20001220703125,85.0
18,Steps per episode,375.20001220703125,90.0
19,Steps per episode,500.0,95.0
20,Steps per episode,500.0,100.0
21,Steps per episode,472.20001220703125,105.0
22,Steps per episode,500.0,110.0
23,Steps per episode,500.0,115.0
24,Steps per episode,241.1999969482422,120.0
25,Steps per episode,419.3999938964844,125.0
26,Steps per episode,262.20001220703125,130.0
27,Steps per episode,431.3999938964844,135.0
28,Steps per episode,456.3999938964844,140.0
29,Steps per episode,500.0,145.0
30,Steps per episode,394.3999938964844,150.0
31,Steps per episode,500.0,155.0
32,Steps per episode,500.0,160.0
33,Steps per episode,402.20001220703125,165.0
34,Steps per episode,402.3999938964844,170.0
35,Steps per episode,401.0,175.0
36,Steps per episode,490.20001220703125,180.0
37,Steps per episode,472.20001220703125,185.0
38,Steps per episode,500.0,190.0
39,Steps per episode,349.20001220703125,195.0
40,Steps per episode,427.3999938964844,200.0
41,Steps per episode,291.20001220703125,205.0
42,Steps per episode,314.6000061035156,210.0
43,Steps per episode,500.0,215.0
44,Steps per episode,381.79998779296875,220.0
45,Steps per episode,500.0,225.0
46,Steps per episode,500.0,230.0
47,Steps per episode,490.20001220703125,235.0
48,Steps per episode,402.3999938964844,240.0
49,Steps per episode,372.20001220703125,245.0
50,Steps per episode,430.3999938964844,250.0
51,Steps per episode,389.79998779296875,255.0
52,Steps per episode,332.3999938964844,260.0
53,Steps per episode,500.0,265.0
54,Steps per episode,411.20001220703125,270.0
55,Steps per episode,434.0,275.0
56,Steps per episode,402.6000061035156,280.0
57,Steps per episode,403.0,285.0
58,Steps per episode,441.6000061035156,290.0
59,Steps per episode,390.79998779296875,295.0
60,Steps per episode,366.3999938964844,300.0
61,Steps per episode,442.20001220703125,305.0
62,Steps per episode,443.20001220703125,310.0
63,Steps per episode,427.79998779296875,315.0
64,Steps per episode,238.1999969482422,320.0
65,Steps per episode,500.0,325.0
66,Steps per episode,500.0,330.0
67,Steps per episode,401.79998779296875,335.0
68,Steps per episode,327.0,340.0
69,Steps per episode,454.6000061035156,345.0
70,Steps per episode,500.0,350.0
71,Steps per episode,476.6000061035156,355.0
72,Steps per episode,334.6000061035156,360.0
73,Steps per episode,500.0,365.0
74,Steps per episode,373.3999938964844,370.0
75,Steps per episode,477.0,375.0
76,Steps per episode,425.6000061035156,380.0
77,Steps per episode,414.6000061035156,385.0
78,Steps per episode,424.79998779296875,390.0
79,Steps per episode,500.0,395.0
80,Steps per episode,426.6000061035156,400.0
81,Steps per episode,246.39999389648438,405.0
82,Steps per episode,500.0,410.0
83,Steps per episode,420.20001220703125,415.0
84,Steps per episode,275.3999938964844,420.0
85,Steps per episode,500.0,425.0
86,Steps per episode,411.3999938964844,430.0
87,Steps per episode,409.0,435.0
88,Steps per episode,344.0,440.0
89,Steps per episode,454.20001220703125,445.0
90,Steps per episode,500.0,450.0
91,Steps per episode,497.0,455.0
92,Steps per episode,452.3999938964844,460.0
93,Steps per episode,492.20001220703125,465.0
94,Steps per episode,500.0,470.0
95,Steps per episode,475.79998779296875,475.0
96,Steps per episode,470.3999938964844,480.0
97,Steps per episode,455.20001220703125,485.0
98,Steps per episode,498.3999938964844,490.0
99,Steps per episode,485.3999938964844,495.0
100,Steps per episode,412.0,500.0
101,Steps per episode,438.0,505.0
102,Steps per episode,459.20001220703125,510.0
103,Steps per episode,466.79998779296875,515.0
104,Steps per episode,462.79998779296875,520.0
105,Steps per episode,427.20001220703125,525.0
106,Steps per episode,440.79998779296875,530.0
107,Steps per episode,421.6000061035156,535.0
108,Steps per episode,401.3999938964844,540.0
109,Steps per episode,468.3999938964844,545.0
110,Steps per episode,500.0,550.0
111,Steps per episode,437.0,555.0
112,Steps per episode,500.0,560.0
113,Steps per episode,462.20001220703125,565.0
114,Steps per episode,374.6000061035156,570.0
115,Steps per episode,412.0,575.0
116,Steps per episode,456.79998779296875,580.0
117,Steps per episode,467.3999938964844,585.0
118,Steps per episode,354.3999938964844,590.0
119,Steps per episode,500.0,595.0
120,Steps per episode,414.79998779296875,600.0
121,Steps per episode,387.79998779296875,605.0
122,Steps per episode,500.0,610.0
123,Steps per episode,500.0,615.0
124,Steps per episode,344.3999938964844,620.0
125,Steps per episode,401.3999938964844,625.0
126,Steps per episode,398.3999938964844,630.0
127,Steps per episode,390.0,635.0
128,Steps per episode,500.0,640.0
129,Steps per episode,269.79998779296875,645.0
130,Steps per episode,410.6000061035156,650.0
131,Steps per episode,387.79998779296875,655.0
132,Steps per episode,467.3999938964844,660.0
133,Steps per episode,500.0,665.0
134,Steps per episode,500.0,670.0
135,Steps per episode,297.79998779296875,675.0
136,Steps per episode,500.0,680.0
137,Steps per episode,425.20001220703125,685.0
138,Steps per episode,463.6000061035156,690.0
139,Steps per episode,462.0,695.0
140,Steps per episode,312.6000061035156,700.0
141,Steps per episode,448.6000061035156,705.0
142,Steps per episode,451.3999938964844,710.0
143,Steps per episode,354.6000061035156,715.0
144,Steps per episode,468.79998779296875,720.0
145,Steps per episode,375.3999938964844,725.0
146,Steps per episode,500.0,730.0
147,Steps per episode,500.0,735.0
148,Steps per episode,283.79998779296875,740.0
149,Steps per episode,431.6000061035156,745.0
150,Steps per episode,376.3999938964844,750.0
151,Steps per episode,400.0,755.0
152,Steps per episode,422.79998779296875,760.0
153,Steps per episode,282.6000061035156,765.0
154,Steps per episode,369.3999938964844,770.0
155,Steps per episode,409.79998779296875,775.0
156,Steps per episode,417.0,780.0
157,Steps per episode,500.0,785.0
158,Steps per episode,356.0,790.0
159,Steps per episode,423.6000061035156,795.0
160,Steps per episode,371.20001220703125,800.0
161,Steps per episode,460.20001220703125,805.0
162,Steps per episode,500.0,810.0
163,Steps per episode,421.3999938964844,815.0
